NPCType,NPCTypeID,Model,na6,na7,Country,NpcName,NpcWelcome,QuestStart,QuestEnd
9,1,0,16,8000,1,Cow,Moo... Moooo!,,
9,2,1,16,8000,1,Dog,Bow-Wow! Ruff!,,
9,3,2,16,8000,1,Chicken,Cluck... Cluck,,
9,4,3,16,8000,1,Pig,Oink! Oinkity Oink!,,
9,5,4,16,8000,1,Horse,Whinny! Neigh!,,
9,6,5,16,8000,1,Sheep,Baaaaaaaaaaaah!,,
9,7,0,16,8000,2,Cow,Moo.. Moo.,,
9,8,1,16,8000,2,Dog,Bow-Wow! Grrrrrrrrrr.,,
9,9,2,16,8000,2,Chicken,Cock-a-doodle-doo,,
9,10,3,16,8000,2,Pig,Oink.,,
9,11,4,16,8000,2,Horse,Neigh! Whinny! Snort!,,
9,12,5,16,8000,2,Sheep,Baaah!,,
9,13,91,16,8000,2,Basilisk,Sssssssssssssssssssss!,,
9,14,92,16,8000,2,Red Dragoon,Rooooooaaaaarrrrrr!,,
9,15,93,16,8000,1,Leopard,Rowr!,,
9,16,94,16,8000,1,Silver Lion,Raaaaaaawwwwwrrr!,,
9,17,95,16,8000,1,Horse,Whinny!,,
9,18,96,16,8000,1,Sunsteed,Snort!,,
9,19,97,16,8000,2,Black Leopard,Rawr!,,
9,20,98,16,8000,2,Blood Wolf,Awroooooooooo!,,
