NPCType,NPCTypeID,Model,na6,na7,Country,NpcName,NpcWelcome,QuestStart,QuestEnd
3,1,38,16,8000,1,Luisan Xiphos,Nice to meet you. My name is Luisan. What would you like me to fix for you today?,,
3,2,11,16,8000,1,Dober Dwellon,I loathe warriors who handle their weapons carelessly.,,
3,3,11,16,8000,1,Duke Dephill,Who... Who are you? What brought you here?,32 | 168 | 1226,31 | 32 | 168 | 1225
3,4,36,16,8000,2,Karna Kiesto,The finest weapons drenched in human blood can be found here.,208,208
3,5,15,16,8000,2,Yaadin,"I'm the best blacksmith in the lands, so you should be honored standing before me.",207,72 | 207
3,6,50,16,8000,2,Barren Deiatt,"I hope your words are short and to the point, because i hate people who make me wait.",1233,1232
3,7,11,16,8000,1,Rio Grasys,Welcome.... I have been waiting for somone to pass by. The boredom is killing me.,,
3,8,36,16,8000,2,Mori Durgrihen,"How did you know I was here? Are you following me?  No, I must be letting my paranoia get to me. I apologize. I shouldn't have suspected you of anything.",,
3,9,11,16,8000,1,Ru Randolph,Did you come to fix my stuff?,252 | 253 | 254 | 255 | 256 | 257 | 264,252 | 253 | 254 | 255 | 256 | 257 | 264
3,10,15,16,8000,2,Dertin,Give me anything you want fixed.,258 | 259 | 260 | 261 | 262 | 263 | 265,258 | 259 | 260 | 261 | 262 | 263 | 265
3,11,11,16,8000,1,Doltin Coper,Becoming a leader requires full dedication. Anyone looking down on this job will suffer severe consequences.,975,975
3,12,38,16,8000,1,Lavenne Watersaga,"I hate this war, but I will be happy to make weapons used for getting rid of those wretched Vail and Deatheaters.",976,976
3,13,11,16,8000,1,Arnold Quick,Are you here to admire my muscles tiny person? Can you not see my rippling biceps gleaming in the sun? You are so small and insignificant compared to me. What do you want puny weakling?,353 | 354 | 355,353 | 354 | 355
3,14,50,16,8000,2,Mutto,"What do you want? Do you need me to fix something? Hurry up and hand it to me already, can't you see I'm busy.",1179 | 1180,1178 | 1179
3,15,27,16,8000,2,Dugon Hisuren,What do you want fixed? I'll make it like new again in only a matter of minutes!,979 | 1176,979 | 1175 | 1176 | 1177
3,16,50,16,8000,2,Martelo,Is that human blood on your armor there? Good! I'll give you a discount. We need more warriors spilling the blood of those bastards!,980,980
3,17,50,16,8000,2,Gisto,"I guarantee that anything i fix will be perfect. I may not be the fastest, but i get the job done and I won't have to do it twice. You don't like waiting? Go somewhere else.",,
3,18,36,16,8000,2,Dulce Manches,Greetings. Let me see the items you want repaired.,,
3,19,11,16,8000,1,Karl Bierhawk,What are you looking at?,977,977
3,20,26,16,8000,1,Diet Weber,Yes I'm the blacksmith. Yes I fix stuff. Is there something you wanted?,,
3,21,26,16,8000,1,Grena Randolph,What's up? You need something?,,
