NPCType,NPCTypeID,Model,na6,na7,Country,NpcName,NpcWelcome,QuestStart,QuestEnd
7,1,22,16,8000,1,Emily Maiser,"I like Daniel Priest so much, but my grandpa warned me that I'll get punished if I meet him again. What am I gonna do?",,
7,2,12,16,8000,1,Kail Kaswald,"I'm Kail, a local official of Keolloseu, and I'm half Elf. These days I'm studying the history of the human race.",38 | 56 | 57 | 58 | 287 | 839,38 | 56 | 57 | 58 | 63 | 186 | 187
7,3,51,16,8000,1,Sarah Hamilton,"I'm a Tami's mother, Sarah. Did you happen to see Tami?",832,834
7,4,13,16,8000,1,Thomas Gellan,Do you like vegetables? There is nothing like the taste of a vegetable...  except for bacon! I think bacon is a vegetable!,,
7,5,24,16,8000,1,Tami Hamilton,"Hi, I'm Tami. My mom says I'm nothing but trouble.",,
7,6,6,16,8000,1,Jimm Royer,"I'm a locksmith, but people sometimes think I'm the village headman.",37,36
7,7,22,16,8000,1,Annie Lopez,"I'm older than my sister, and we are twins.",,51
7,8,22,16,8000,1,Ally Lopez,Did Annie lie to you again?,,
7,9,31,16,8000,2,Rose Daily,I'm not gonna see Blue again until he admits he is wrong. Hrumph!,,229
7,10,44,16,8000,2,Blue Raksion,Did you happen to see an ugly girl named Rose? I can't find her anywhere. She's really ugly so I'm sure you'd known if you had seen her.,228 | 229,227 | 228
7,11,17,16,8000,2,Garter Saitron,"I'm Garter, and I'm a local officer of this village. What's up?",102 | 112,82 | 101 | 102 | 116
7,12,30,16,8000,2,Beki Sairen,Why don't you spend some time playing with me?,88 | 236,88 | 235
7,13,37,16,8000,2,Ray Haste,Stop bothering me right now. I have to find Beki.,234 | 235,234 | 236
7,14,20,16,8000,2,Lia Kreis,God is in a rage! The end is coming!,1232 | 1234 | 1250 | 1251,1230 | 1231 | 1233 | 1237
7,15,19,16,8000,2,Baaz Witen, Did you call me? Do you wanna die?,,
7,16,31,16,8000,2,Bebe Windia,"You came from outside of this village, right? How was your journey along the way? You must have a lot to talk about. Was it fantastic?",,
7,17,37,16,8000,2,Gowu Windia,You bastard Bebe! Where on earth are you? I'm gonna kill him. Have you seen him?,,
7,18,29,16,8000,1,Tania Dreabuh,"My name is Tania, a local official. What's up?",128 | 129 | 130 | 131 | 132 | 133,128 | 129 | 130 | 131 | 132 | 133
7,19,23,16,8000,1,Led Ebans,What's the matter with you? Just leave me alone..,240,240
7,20,23,16,8000,1,George Pilluon,Bring money first if you want to talk to me.,,134
7,21,17,16,8000,2,Konn Karso,"So, you have business with me? Okay, I'm all ears. What is it?",135 | 136 | 137,135 | 136 | 137 | 245
7,22,33,16,8000,2,Seno Deste,You want to speak with me and not with Konn Karso? I'm surprised. What is it you want?,139 | 140 | 141 | 142 | 143 | 144,139 | 140 | 141 | 142 | 143 | 144
7,23,20,16,8000,2,Jann Aneliy,What?,,145
7,24,32,16,8000,2,Yous Kerasid,Go now before it is too late!,,
7,25,32,16,8000,2,Murton Carso,Stop teasing me. Just go!,,
7,26,32,16,8000,2,Ragon Kuirsan,I... I didn't want to be a warrior. I'm serious... I just wanna go back home... (sob),,
7,27,32,16,8000,2,Bain Setiro,Would like to hear me sing a song of the fallen heroes and the families they've left behind?,,
7,28,50,16,8000,2,Picktz,We have to finish this task within today.,,
7,29,50,16,8000,2,Earwin,This load is heavier than ever.,,
7,30,50,16,8000,2,Keun,"I used to be a farmer, now I only dig graves.",,
7,31,50,16,8000,2,Wark,I'm going crazy. I'm doing the same thing over and over again every day.,,
7,32,47,16,8000,1,Narus Kiron,I can tell you everything about Alchemy.,18 | 20 | 21 | 26 | 27,19 | 20 | 26 | 278
7,33,38,16,8000,1,Earl Blendy,"It is quite unfortunate, all of the animals are behaving quite strangely recently.",186 | 822,27 | 821
7,34,28,16,8000,1,Rosian Grik,Who are you? I'm freezing to death here. Do you have any blankets?,33 | 192,33 | 191
7,35,29,16,8000,1,Alicia Irwen,"I will fullfill my mission, no matter what happens.",25 | 46 | 187,25 | 46
7,36,7,16,8000,1,Moorus Torero,hm..I just wake up now... what brought you here?,175 | 849 | 850 | 861 | 862 | 873 | 874 | 885 | 886 | 896 | 897 | 907 | 908,175 | 848 | 849 | 860 | 861 | 872 | 873 | 884 | 885 | 895 | 896 | 906 | 907
7,37,21,16,8000,1,Daniel Allter,May Etain's blessing find you always.,16 | 164,16
7,38,21,16,8000,1,Batan Animus,"My name is Batan, and I work in the service of God. What can I help you with?",34 | 36 | 1224 | 1228 | 1248 | 1249,35 | 37 | 190 | 1222 | 1223 | 1227 | 1229
