NPCType,NPCTypeID,MerchantType,Model,na6,na7,Country,NpcName,NpcWelcome,QuestStart,QuestEnd,Product
1,1,1,42,16,8000,1,Erina Probicio,Good Morning. You look like a good person and have a trustworthy voice.  We should talk.,,,1001 | 1011 | 2001 | 2011 | 5001 | 5011 | 6001 | 6011 | 7001 | 7011 | 8001 | 8011 | 9001 | 9011 | 12001 | 12011 | 13001 | 13011 | 14001 | 14011 | 15001 | 15011 | 10001 | 10011
1,2,2,38,16,8000,1,Sonya Bellone,"Did you come here to buy something? Please make it quick, I really hate waiting.",10,10,20001 | 21001 | 18001 | 17001 | 20086 | 21086 | 18086 | 17086 | 20171 | 21171 | 18171 | 17171 | 19001
1,3,3,38,16,8000,1,Tmic Dulkies,Hey there!  So what're you looking for?  Stuff?  Things?  What?  You're confused?  Well...,167,167,
1,4,4,42,16,8000,1,Clio Uodia,What did you roll around in? You stink... You need to take a bath.  I think there's a nice lake nearby.,,,25004 | 25005 | 25006 | 25010 | 25011 | 25012 | 25016 | 25017 | 25018
1,5,1,26,16,8000,1,Aira Selden,"You have a puzzled look on your face.  Are you confused as to why a beautiful woman is running a weapon shop?  I'm quite an accomplished warrior, don't let my appearance fool you.",,,1001 | 1011 | 2001 | 2011 | 5001 | 5011 | 6001 | 6011 | 7001 | 7011 | 8001 | 8011 | 9001 | 9011 | 12001 | 12011 | 13001 | 13011 | 14001 | 14011 | 15001 | 15011 | 10001 | 10011
1,6,2,13,16,8000,1,Kei Bierhawk,A woman's mind is as complex as it is transparent.  Her needs are many and few.j,9,9,20001 | 21001 | 18001 | 17001 | 20086 | 21086 | 18086 | 17086 | 20171 | 21171 | 18171 | 17171 | 19001
1,7,3,6,16,8000,1,Hoss Maiser,Take a look around if you have money to spend. Don't try to negotiate the prices or you'll be leaving my shop head first!,166,166,
1,8,4,10,16,8000,1,Rui Margarita,All men are pigs!  All they ever do is use women and break their hearts!,,,25004 | 25005 | 25006 | 25010 | 25011 | 25012 | 25016 | 25017 | 25018
1,9,1,13,16,8000,1,John Grik,"Hey, you!  You look a little weak to be handling a weapon like that.  Are you sure you can fight?",688 | 689,688 | 690,1021 | 1031 | 1041 | 2021 | 2031 | 2041 | 5021 | 5031 | 5041 | 6021 | 6031 | 6041 | 9021 | 9031 | 9041 | 15021 | 15031 | 15041
1,10,2,13,16,8000,1,Mark Dover,Wha wha whaaaaaaat?  Did you want something?,169,169,20003 | 21003 | 20088 | 21088 | 20173 | 21173 | 20006 | 21006 | 20091 | 21091 | 20176 | 21176 | 20011 | 21011 | 20096 | 21096 | 20181 | 21181
1,11,3,24,16,8000,1,Puko Harriot,Welcome! How can I help you?,,,22001 | 22002 | 22011 | 22012 | 22021 | 23001 | 23011 | 40001 | 40011
1,12,4,10,16,8000,1,Ashley Animus,"Oh jeez, who is this joker...  Oh! Hello there!  Welcome!",,,25004 | 25005 | 25006 | 25010 | 25011 | 25012 | 25016 | 25017 | 25018 | 25028 | 25029 | 25030 | 25031 | 25032 | 25033 | 25034 | 25035 | 25036 | 25068 | 25069 | 25070 | 25071 | 25072
1,13,1,36,16,8000,2,Parphala Karniel,I only sell the finest weapons in the land.  Do no doubt my selection.  Please take a look around.,70,70 | 195,3001 | 3011 | 4001 | 4011 | 5006 | 5016 | 6006 | 6016 | 7006 | 7016 | 8006 | 8016 | 9001 | 9011 | 10001 | 10011 | 11001 | 11011 | 12006 | 12016 | 13006 | 13016 | 15001 | 15011
1,14,2,20,16,8000,2,Grisel Lisen,Yes?,69,69,35001 | 36001 | 33001 | 32001 | 35086 | 36086 | 33086 | 32086 | 35171 | 36171 | 33171 | 32171 | 34001
1,15,3,20,16,8000,2,Kisera Sera,Welcome traveller!  Please take a look around my shop.,205 | 227,205,
1,16,4,30,16,8000,2,Lamia Muren,Welcome. What kind of medicine are you looking for?,242,,25004 | 25005 | 25006 | 25010 | 25011 | 25012 | 25016 | 25017 | 25018
1,17,1,15,16,8000,2,Igel,What? Did you call my name? Am I hearing things?,71 | 72,71 | 196,3001 | 3011 | 4001 | 4011 | 5006 | 5016 | 6006 | 6016 | 7006 | 7016 | 8006 | 8016 | 9001 | 9011 | 10001 | 10011 | 11001 | 11011 | 12006 | 12016 | 13006 | 13016 | 15001 | 15011
1,18,2,15,16,8000,2,Zidden,"Hmm, I hope you didn't come here to ruin my shop? Those blasted animals have been doing a fine enough job already!",223,223,35001 | 36001 | 33001 | 32001 | 35086 | 36086 | 33086 | 32086 | 35171 | 36171 | 33171 | 32171 | 34001
1,19,3,48,16,8000,2,Denvie,What? Who are you? When did you arrive? What do you want? Well? Are you just going to stand there?,206,206,
